field_name,fill_rate_pct,non_empty_count,empty_count
account_segment,99.63,188350,705
ads_is_adopted,99.63,188351,704
has_active_toast_checking_account,99.63,188350,705
has_ads,99.63,188351,704
has_branded_mobile_app,99.63,188351,704
has_completed_lease,99.63,188350,705
has_ever_had_toast_capital,99.63,188350,705
has_onboarded_ads,99.63,188351,704
has_skip,99.63,188350,705
has_used_instant_deposit,99.63,188350,705
is_actively_surcharging,99.63,188350,705
location_name,99.63,188350,705
restaurant_service_model,99.63,188350,705
restaurant_type,99.63,188350,705
skip_is_adopted,99.63,188350,705
in_toast_now_pilot,99.69,188474,581
payment_processing_vendor,99.71,188515,540
is_managed,99.87,188802,253
toastorders_shard,99.99,189033,22
cande_free_trial_abandoned,100.0,189048,7
catering_and_events_transaction_count_last_30_days,100.0,189048,7
gc_is_adopted,100.0,189048,7
has_1_or_more_invoices_processed_past_90_days,100.0,189048,7
has_3po,100.0,189048,7
has_biweekly_timesheet_export,100.0,189048,7
has_catering_and_events,100.0,189048,7
has_catering_menu_item,100.0,189048,7
has_catering_online_ordering,100.0,189048,7
has_catering_related_dining_option,100.0,189048,7
has_catering_related_menu_item,100.0,189048,7
has_catering_related_revenue_center,100.0,189048,7
has_cbg_related_menu_item,100.0,189048,7
has_gc,100.0,189048,7
has_kds,100.0,189048,7
has_kiosk,100.0,189048,7
has_loyalty,100.0,189048,7
has_marketing,100.0,189048,7
has_online_ordering_pro,100.0,189048,7
has_oo,100.0,189048,7
has_oo_menu_visible,100.0,189048,7
has_opt,100.0,189048,7
has_order_over_1k_dollars_past_7_days,100.0,189048,7
has_order_with_google,100.0,189048,7
has_over_400_menu_items,100.0,189048,7
has_shared_employees,100.0,189048,7
has_tds,100.0,189048,7
has_toast_retail,100.0,189048,7
has_toast_tables,100.0,189048,7
has_toast_tables_plus,100.0,189048,7
has_toast_websites,100.0,189048,7
has_tto,100.0,189048,7
has_xtrachef_ap,100.0,189048,7
has_xtrachef_inventory,100.0,189048,7
has_xtrachef_recipe,100.0,189048,7
id,100.0,189055,0
is_house_tip_share_enabled,100.0,189048,7
kds_is_adopted,100.0,189048,7
kiosk_is_adopted,100.0,189048,7
loyalty_is_adopted,100.0,189048,7
marketing_is_adopted,100.0,189048,7
oo_is_adopted,100.0,189048,7
oo_settings_task_completed,100.0,189048,7
opt_is_adopted,100.0,189048,7
parent_account_has_open_payroll_opportunity,100.0,189048,7
parent_account_has_payroll,100.0,189048,7
tds_is_adopted,100.0,189048,7
toast_tables_bookings_last_30_days,100.0,189048,7
tto_is_adopted,100.0,189048,7
users_added_last_7_days,100.0,189048,7
