field_name,field_type,is_custom,last_seen
parent_account_has_payroll,String,True,2026-02-11
opt_activation_date,String,True,2026-02-11
online_ordering_pro_first_order_date,String,True,2026-02-11
has_order_with_google,String,True,2026-02-11
has_toast_tables_plus,String,True,2026-02-11
ubereats_purchased_date,String,True,2026-02-11
tto_activation_date,String,True,2026-02-11
has_catering_menu_item,String,True,2026-02-11
kiosk_purchased_date,String,True,2026-02-11
loyalty_purchased_date,String,True,2026-02-11
catering_and_events_activation_date,String,True,2026-02-11
toast_tables_plus_activation_date,String,True,2026-02-11
location_street,String,True,2026-02-11
has_kiosk,String,True,2026-02-11
has_tds,String,True,2026-02-11
toast_websites_provisioned_date,String,True,2026-02-11
tickets_last_30_days,String,True,2026-02-11
users_added_last_7_days,String,True,2026-02-11
tickets_first_30_days,String,True,2026-02-11
catering_and_events_last_order_type_created_date,String,True,2026-02-11
loyalty_is_adopted,String,True,2026-02-11
cande_free_trial_start_date,String,True,2026-02-11
toast_websites_purchased_date,String,True,2026-02-11
xtrachef_ap_purchased_date,String,True,2026-02-11
tto_is_adopted,String,True,2026-02-11
xtrachef_inventory_purchased_date,String,True,2026-02-11
sling_free_trial_start_date,String,True,2026-02-11
payment_processing_vendor,String,True,2026-02-11
grubhub_activation_date,String,True,2026-02-11
churn_date,String,True,2026-02-11
toast_now_app_downloaded_timestamp,String,True,2026-02-11
online_ordering_pro_purchased_date,String,True,2026-02-11
toast_capital_pre_qualified_latest_expiration_datetime,String,True,2026-02-11
opt_is_adopted,String,True,2026-02-11
last_modified_timestamp,String,True,2026-02-11
toast_tables_purchased_date,String,True,2026-02-11
has_onboarded_ads,String,True,2026-02-11
xtrachef_recipe_purchased_date,String,True,2026-02-11
tds_activation_date,String,True,2026-02-11
toast_websites_activation_date,String,True,2026-02-11
account_rsm,String,True,2026-02-11
has_order_over_1k_dollars_past_7_days,String,True,2026-02-11
has_xtrachef_ap,String,True,2026-02-11
has_xtrachef_inventory,String,True,2026-02-11
cande_lifetime_order_count,String,True,2026-02-11
has_open_catering_and_events_opportunity,String,True,2026-02-11
account_segment,String,True,2026-02-11
days_with_timesheet_edits,String,True,2026-02-11
sling_subscription_tier,String,True,2026-02-11
order_with_google_first_order_date,String,True,2026-02-11
toastorders_shard,String,True,2026-02-11
loyalty_activation_date,String,True,2026-02-11
doordash_activation_date,String,True,2026-02-11
kiosk_provisioned_date,String,True,2026-02-11
restaurant_type,String,True,2026-02-11
branded_mobile_app_purchased_date,String,True,2026-02-11
location_name,String,True,2026-02-11
gc_is_adopted,String,True,2026-02-11
toast_tables_provisioned_date,String,True,2026-02-11
skip_provisioned_date,String,True,2026-02-11
toast_tables_activation_date,String,True,2026-02-11
parent_account_has_open_payroll_opportunity,String,True,2026-02-11
online_ordering_pro_provisioned_date,String,True,2026-02-11
tds_volume_last_30_days,String,True,2026-02-11
order_with_google_provisioned_date,String,True,2026-02-11
active_elo_v1_past_30_days,String,True,2026-02-11
branded_mobile_app_activation_date,String,True,2026-02-11
tds_provisioned_date,String,True,2026-02-11
parent_account_employee_count,String,True,2026-02-11
oo_is_adopted,String,True,2026-02-11
has_tto,String,True,2026-02-11
number_of_tables,String,True,2026-02-11
